City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Biak,ID,76.21,scattered clouds,-0.9131,122.8766,Penginapan Kim
284,Yurino,RU,55.76,overcast clouds,56.2942,46.3039,Sheremetev Castle
286,Baculin,PH,80.6,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
287,Resistencia,AR,74.1,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
288,Buraydah,SA,88.25,few clouds,26.326,43.975,Mövenpick Qassim
289,Pisco,PE,60.85,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
290,Sur,OM,86.41,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
291,Blackfoot,US,94.78,scattered clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
292,Maniitsoq,GL,46.94,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
293,Khandyga,RU,77.54,scattered clouds,62.6667,135.6,Apel'sin
294,Bakel,SN,77.99,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
295,Banepa,NP,65.89,overcast clouds,27.6298,85.5214,Dhulikhel Lodge Resort
296,Gravelbourg,CA,80.87,clear sky,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
297,Bangui,CF,70.86,overcast clouds,4.3612,18.555,SAM HOTEL
298,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
299,Aras,ES,79.21,clear sky,42.5617,-2.356,Jardines de Viana Spa
300,Richards Bay,ZA,66.18,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
301,Inhambane,MZ,67.12,clear sky,-23.865,35.3833,Oceano
303,Lokoja,NG,72.45,light rain,7.8024,6.743,Hotel Charvid
304,Camopi,GF,74.03,overcast clouds,3.1655,-52.3158,La pousada
305,Pordenone,IT,80.96,few clouds,45.95,12.65,Best Western
306,San Pedro,PH,83.26,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
307,Aquiraz,BR,77.09,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
308,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
309,Catamarca,AR,62.58,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
310,Dingle,PH,79.75,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
314,Lundazi,ZM,62.51,scattered clouds,-12.2929,33.1782,Knox Lodge
315,Kangasala,FI,66.47,scattered clouds,61.4638,24.076,Hepesa Oy
316,Narsaq,GL,57.42,few clouds,60.9167,-46.05,Sleep In Narsaq
317,Manzanillo,CU,84.97,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
318,Santa Fe,AR,61.0,light rain,-31.6333,-60.7,Conquistador Hotel
319,Daliang,CN,86.05,clear sky,22.8504,113.247,Shunde New World Hotel
321,Makaryev,RU,53.87,few clouds,57.8797,43.8069,Postoyalyy Dvor
322,Udachnyy,RU,50.45,overcast clouds,66.4167,112.4,Severnoye Siyaniye
323,Kuala Terengganu,MY,76.95,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
324,Staroderevyankovskaya,RU,63.82,clear sky,46.1276,38.9674,Guest House Nes
326,Vezirkopru,TR,59.49,clear sky,41.1436,35.4547,Vezirkopru Ogretmenevi
327,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
328,Sergeyevka,KZ,55.96,clear sky,53.88,67.4158,Amina
329,Kieta,PG,83.53,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
330,Gueret,FR,61.77,clear sky,46.1667,1.8667,Hôtel_ Première Classe Gueret
331,Kjopsvik,NO,54.18,overcast clouds,68.097,16.3742,Stetind Hotell
334,Taltal,CL,59.0,clear sky,-25.4,-70.4833,Residencial Karime
335,Pacifica,US,84.24,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
336,Batos,RO,55.09,clear sky,46.8833,24.6667,Liliac Chalet
